SystemName,Region,Constellation,SecurityStatus,TrueSec,SystemClass,Stargates,Stations,Faction
CLO-06G,Cloud Ring,Cloud Ring Constellation 2,-0.4,-0.45,Nullsec Sovereign Strategic System,2,1,Nullsec
CLO-07H,Cloud Ring,Cloud Ring Constellation 2,-0.4,-0.45,Nullsec Sovereign Strategic System,2,1,Nullsec
CLO-08I,Cloud Ring,Cloud Ring Constellation 2,-0.4,-0.45,Nullsec Sovereign Strategic System,2,1,Nullsec
CLO-09J,Cloud Ring,Cloud Ring Constellation 3,-0.4,-0.45,Nullsec Sovereign Strategic System,2,1,Nullsec
CLO-10K,Cloud Ring,Cloud Ring Constellation 3,-0.4,-0.45,Nullsec Sovereign Strategic System,2,1,Nullsec
CLO-11L,Cloud Ring,Cloud Ring Constellation 3,-0.4,-0.45,Nullsec Sovereign Strategic System,2,1,Nullsec
FOU-01B,Fountain,Fountain Constellation 1,-0.6,-0.65,Nullsec Sovereign Strategic System,2,1,Nullsec (Angel/Sovereign)
FOU-02C,Fountain,Fountain Constellation 1,-0.6,-0.65,Nullsec Sovereign Strategic System,2,1,Nullsec (Angel/Sovereign)
FOU-03D,Fountain,Fountain Constellation 1,-0.6,-0.65,Nullsec Sovereign Strategic System,2,1,Nullsec (Angel/Sovereign)
FOU-04E,Fountain,Fountain Constellation 1,-0.6,-0.65,Nullsec Sovereign Strategic System,2,1,Nullsec (Angel/Sovereign)
FOU-05F,Fountain,Fountain Constellation 2,-0.6,-0.65,Nullsec Sovereign Strategic System,2,1,Nullsec (Angel/Sovereign)
FOU-06G,Fountain,Fountain Constellation 2,-0.6,-0.65,Nullsec Sovereign Strategic System,2,1,Nullsec (Angel/Sovereign)
FOU-07H,Fountain,Fountain Constellation 2,-0.6,-0.65,Nullsec Sovereign Strategic System,2,1,Nullsec (Angel/Sovereign)
FOU-08I,Fountain,Fountain Constellation 2,-0.6,-0.65,Nullsec Sovereign Strategic System,2,1,Nullsec (Angel/Sovereign)
FOU-09J,Fountain,Fountain Constellation 3,-0.6,-0.65,Nullsec Sovereign Strategic System,2,1,Nullsec (Angel/Sovereign)
FOU-10K,Fountain,Fountain Constellation 3,-0.6,-0.65,Nullsec Sovereign Strategic System,2,1,Nullsec (Angel/Sovereign)
FOU-11L,Fountain,Fountain Constellation 3,-0.6,-0.65,Nullsec Sovereign Strategic System,2,1,Nullsec (Angel/Sovereign)
DEL-01B,Delve,Delve Constellation 1,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec (Blood Raiders/Imperium)
DEL-02C,Delve,Delve Constellation 1,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec (Blood Raiders/Imperium)
DEL-03D,Delve,Delve Constellation 1,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec (Blood Raiders/Imperium)
DEL-04E,Delve,Delve Constellation 1,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec (Blood Raiders/Imperium)
DEL-05F,Delve,Delve Constellation 2,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec (Blood Raiders/Imperium)
DEL-06G,Delve,Delve Constellation 2,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec (Blood Raiders/Imperium)
DEL-07H,Delve,Delve Constellation 2,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec (Blood Raiders/Imperium)
DEL-08I,Delve,Delve Constellation 2,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec (Blood Raiders/Imperium)
DEL-09J,Delve,Delve Constellation 3,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec (Blood Raiders/Imperium)
DEL-10K,Delve,Delve Constellation 3,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec (Blood Raiders/Imperium)
DEL-11L,Delve,Delve Constellation 3,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec (Blood Raiders/Imperium)
QUE-01B,Querious,Querious Constellation 1,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
QUE-02C,Querious,Querious Constellation 1,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
QUE-03D,Querious,Querious Constellation 1,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
QUE-04E,Querious,Querious Constellation 1,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
QUE-05F,Querious,Querious Constellation 2,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
QUE-06G,Querious,Querious Constellation 2,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
QUE-07H,Querious,Querious Constellation 2,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
QUE-08I,Querious,Querious Constellation 2,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
QUE-09J,Querious,Querious Constellation 3,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
QUE-10K,Querious,Querious Constellation 3,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
QUE-11L,Querious,Querious Constellation 3,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
PER-01B,Period Basis,Period Basis Constellation 1,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
PER-02C,Period Basis,Period Basis Constellation 1,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
PER-03D,Period Basis,Period Basis Constellation 1,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
PER-04E,Period Basis,Period Basis Constellation 1,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
PER-05F,Period Basis,Period Basis Constellation 2,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
PER-06G,Period Basis,Period Basis Constellation 2,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
PER-07H,Period Basis,Period Basis Constellation 2,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
PER-08I,Period Basis,Period Basis Constellation 2,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
PER-09J,Period Basis,Period Basis Constellation 3,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
PER-10K,Period Basis,Period Basis Constellation 3,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
PER-11L,Period Basis,Period Basis Constellation 3,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
PAR-01B,Paragon Soul,Paragon Soul Constellation 1,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
PAR-02C,Paragon Soul,Paragon Soul Constellation 1,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
PAR-03D,Paragon Soul,Paragon Soul Constellation 1,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
PAR-04E,Paragon Soul,Paragon Soul Constellation 1,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
PAR-05F,Paragon Soul,Paragon Soul Constellation 2,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
PAR-06G,Paragon Soul,Paragon Soul Constellation 2,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
PAR-07H,Paragon Soul,Paragon Soul Constellation 2,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
PAR-08I,Paragon Soul,Paragon Soul Constellation 2,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
PAR-09J,Paragon Soul,Paragon Soul Constellation 3,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
PAR-10K,Paragon Soul,Paragon Soul Constellation 3,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
PAR-11L,Paragon Soul,Paragon Soul Constellation 3,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
ESO-01B,Esoteria,Esoteria Constellation 1,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
ESO-02C,Esoteria,Esoteria Constellation 1,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
ESO-03D,Esoteria,Esoteria Constellation 1,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
ESO-04E,Esoteria,Esoteria Constellation 1,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
ESO-05F,Esoteria,Esoteria Constellation 2,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
ESO-06G,Esoteria,Esoteria Constellation 2,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
ESO-07H,Esoteria,Esoteria Constellation 2,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
ESO-08I,Esoteria,Esoteria Constellation 2,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
ESO-09J,Esoteria,Esoteria Constellation 3,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
ESO-10K,Esoteria,Esoteria Constellation 3,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
ESO-11L,Esoteria,Esoteria Constellation 3,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
FEY-01B,Feythabolis,Feythabolis Constellation 1,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
FEY-02C,Feythabolis,Feythabolis Constellation 1,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
FEY-03D,Feythabolis,Feythabolis Constellation 1,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
FEY-04E,Feythabolis,Feythabolis Constellation 1,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
FEY-05F,Feythabolis,Feythabolis Constellation 2,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
FEY-06G,Feythabolis,Feythabolis Constellation 2,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
FEY-07H,Feythabolis,Feythabolis Constellation 2,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
FEY-08I,Feythabolis,Feythabolis Constellation 2,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
FEY-09J,Feythabolis,Feythabolis Constellation 3,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
FEY-10K,Feythabolis,Feythabolis Constellation 3,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
FEY-11L,Feythabolis,Feythabolis Constellation 3,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
IMP-01B,Impass,Impass Constellation 1,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
IMP-02C,Impass,Impass Constellation 1,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
IMP-03D,Impass,Impass Constellation 1,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
IMP-04E,Impass,Impass Constellation 1,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
IMP-05F,Impass,Impass Constellation 2,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
IMP-06G,Impass,Impass Constellation 2,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
IMP-07H,Impass,Impass Constellation 2,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
IMP-08I,Impass,Impass Constellation 2,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
IMP-09J,Impass,Impass Constellation 3,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
IMP-10K,Impass,Impass Constellation 3,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
IMP-11L,Impass,Impass Constellation 3,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
CAT-01B,Catch,Catch Constellation 1,-0.5,-0.55,Nullsec Sovereign Strategic System,2,1,Nullsec
CAT-02C,Catch,Catch Constellation 1,-0.5,-0.55,Nullsec Sovereign Strategic System,2,1,Nullsec
CAT-03D,Catch,Catch Constellation 1,-0.5,-0.55,Nullsec Sovereign Strategic System,2,1,Nullsec
CAT-04E,Catch,Catch Constellation 1,-0.5,-0.55,Nullsec Sovereign Strategic System,2,1,Nullsec
CAT-05F,Catch,Catch Constellation 2,-0.5,-0.55,Nullsec Sovereign Strategic System,2,1,Nullsec
CAT-06G,Catch,Catch Constellation 2,-0.5,-0.55,Nullsec Sovereign Strategic System,2,1,Nullsec
CAT-07H,Catch,Catch Constellation 2,-0.5,-0.55,Nullsec Sovereign Strategic System,2,1,Nullsec
CAT-08I,Catch,Catch Constellation 2,-0.5,-0.55,Nullsec Sovereign Strategic System,2,1,Nullsec
CAT-09J,Catch,Catch Constellation 3,-0.5,-0.55,Nullsec Sovereign Strategic System,2,1,Nullsec
CAT-10K,Catch,Catch Constellation 3,-0.5,-0.55,Nullsec Sovereign Strategic System,2,1,Nullsec
CAT-11L,Catch,Catch Constellation 3,-0.5,-0.55,Nullsec Sovereign Strategic System,2,1,Nullsec
IMM-01B,Immensea,Immensea Constellation 1,-0.6,-0.65,Nullsec Sovereign Strategic System,2,1,Nullsec
IMM-02C,Immensea,Immensea Constellation 1,-0.6,-0.65,Nullsec Sovereign Strategic System,2,1,Nullsec
IMM-03D,Immensea,Immensea Constellation 1,-0.6,-0.65,Nullsec Sovereign Strategic System,2,1,Nullsec
IMM-04E,Immensea,Immensea Constellation 1,-0.6,-0.65,Nullsec Sovereign Strategic System,2,1,Nullsec
IMM-05F,Immensea,Immensea Constellation 2,-0.6,-0.65,Nullsec Sovereign Strategic System,2,1,Nullsec
IMM-06G,Immensea,Immensea Constellation 2,-0.6,-0.65,Nullsec Sovereign Strategic System,2,1,Nullsec
IMM-07H,Immensea,Immensea Constellation 2,-0.6,-0.65,Nullsec Sovereign Strategic System,2,1,Nullsec
IMM-08I,Immensea,Immensea Constellation 2,-0.6,-0.65,Nullsec Sovereign Strategic System,2,1,Nullsec
IMM-09J,Immensea,Immensea Constellation 3,-0.6,-0.65,Nullsec Sovereign Strategic System,2,1,Nullsec
IMM-10K,Immensea,Immensea Constellation 3,-0.6,-0.65,Nullsec Sovereign Strategic System,2,1,Nullsec
IMM-11L,Immensea,Immensea Constellation 3,-0.6,-0.65,Nullsec Sovereign Strategic System,2,1,Nullsec
TEN-01B,Tenerifis,Tenerifis Constellation 1,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
TEN-02C,Tenerifis,Tenerifis Constellation 1,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
TEN-03D,Tenerifis,Tenerifis Constellation 1,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
TEN-04E,Tenerifis,Tenerifis Constellation 1,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
TEN-05F,Tenerifis,Tenerifis Constellation 2,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
TEN-06G,Tenerifis,Tenerifis Constellation 2,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
TEN-07H,Tenerifis,Tenerifis Constellation 2,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
TEN-08I,Tenerifis,Tenerifis Constellation 2,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
TEN-09J,Tenerifis,Tenerifis Constellation 3,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
TEN-10K,Tenerifis,Tenerifis Constellation 3,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
TEN-11L,Tenerifis,Tenerifis Constellation 3,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
DET-01B,Detorid,Detorid Constellation 1,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
DET-02C,Detorid,Detorid Constellation 1,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
DET-03D,Detorid,Detorid Constellation 1,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
DET-04E,Detorid,Detorid Constellation 1,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
DET-05F,Detorid,Detorid Constellation 2,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
DET-06G,Detorid,Detorid Constellation 2,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
DET-07H,Detorid,Detorid Constellation 2,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
DET-08I,Detorid,Detorid Constellation 2,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
DET-09J,Detorid,Detorid Constellation 3,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
DET-10K,Detorid,Detorid Constellation 3,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
DET-11L,Detorid,Detorid Constellation 3,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
WIC-01B,Wicked Creek,Wicked Creek Constellation 1,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
WIC-02C,Wicked Creek,Wicked Creek Constellation 1,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
WIC-03D,Wicked Creek,Wicked Creek Constellation 1,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
WIC-04E,Wicked Creek,Wicked Creek Constellation 1,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
WIC-05F,Wicked Creek,Wicked Creek Constellation 2,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
WIC-06G,Wicked Creek,Wicked Creek Constellation 2,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
WIC-07H,Wicked Creek,Wicked Creek Constellation 2,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
WIC-08I,Wicked Creek,Wicked Creek Constellation 2,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
WIC-09J,Wicked Creek,Wicked Creek Constellation 3,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
WIC-10K,Wicked Creek,Wicked Creek Constellation 3,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
WIC-11L,Wicked Creek,Wicked Creek Constellation 3,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
INS-01B,Insmother,Insmother Constellation 1,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
INS-02C,Insmother,Insmother Constellation 1,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
INS-03D,Insmother,Insmother Constellation 1,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
INS-04E,Insmother,Insmother Constellation 1,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
INS-05F,Insmother,Insmother Constellation 2,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
INS-06G,Insmother,Insmother Constellation 2,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
INS-07H,Insmother,Insmother Constellation 2,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
INS-08I,Insmother,Insmother Constellation 2,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
INS-09J,Insmother,Insmother Constellation 3,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
INS-10K,Insmother,Insmother Constellation 3,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
INS-11L,Insmother,Insmother Constellation 3,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec
SCA-01B,Scalding Pass,Scalding Pass Constellation 1,-0.6,-0.65,Nullsec Sovereign Strategic System,2,1,Nullsec
SCA-02C,Scalding Pass,Scalding Pass Constellation 1,-0.6,-0.65,Nullsec Sovereign Strategic System,2,1,Nullsec
SCA-03D,Scalding Pass,Scalding Pass Constellation 1,-0.6,-0.65,Nullsec Sovereign Strategic System,2,1,Nullsec
SCA-04E,Scalding Pass,Scalding Pass Constellation 1,-0.6,-0.65,Nullsec Sovereign Strategic System,2,1,Nullsec
SCA-05F,Scalding Pass,Scalding Pass Constellation 2,-0.6,-0.65,Nullsec Sovereign Strategic System,2,1,Nullsec
SCA-06G,Scalding Pass,Scalding Pass Constellation 2,-0.6,-0.65,Nullsec Sovereign Strategic System,2,1,Nullsec
SCA-07H,Scalding Pass,Scalding Pass Constellation 2,-0.6,-0.65,Nullsec Sovereign Strategic System,2,1,Nullsec
SCA-08I,Scalding Pass,Scalding Pass Constellation 2,-0.6,-0.65,Nullsec Sovereign Strategic System,2,1,Nullsec
SCA-09J,Scalding Pass,Scalding Pass Constellation 3,-0.6,-0.65,Nullsec Sovereign Strategic System,2,1,Nullsec
SCA-10K,Scalding Pass,Scalding Pass Constellation 3,-0.6,-0.65,Nullsec Sovereign Strategic System,2,1,Nullsec
SCA-11L,Scalding Pass,Scalding Pass Constellation 3,-0.6,-0.65,Nullsec Sovereign Strategic System,2,1,Nullsec
CUR-01B,Curse,Curse Constellation 1,-0.4,-0.45,Nullsec Sovereign Strategic System,2,1,NPC Nullsec (Angel Cartel)
CUR-02C,Curse,Curse Constellation 1,-0.4,-0.45,Nullsec Sovereign Strategic System,2,1,NPC Nullsec (Angel Cartel)
CUR-03D,Curse,Curse Constellation 1,-0.4,-0.45,Nullsec Sovereign Strategic System,2,1,NPC Nullsec (Angel Cartel)
CUR-04E,Curse,Curse Constellation 1,-0.4,-0.45,Nullsec Sovereign Strategic System,2,1,NPC Nullsec (Angel Cartel)
CUR-05F,Curse,Curse Constellation 2,-0.4,-0.45,Nullsec Sovereign Strategic System,2,1,NPC Nullsec (Angel Cartel)
CUR-06G,Curse,Curse Constellation 2,-0.4,-0.45,Nullsec Sovereign Strategic System,2,1,NPC Nullsec (Angel Cartel)
CUR-07H,Curse,Curse Constellation 2,-0.4,-0.45,Nullsec Sovereign Strategic System,2,1,NPC Nullsec (Angel Cartel)
CUR-08I,Curse,Curse Constellation 2,-0.4,-0.45,Nullsec Sovereign Strategic System,2,1,NPC Nullsec (Angel Cartel)
CUR-09J,Curse,Curse Constellation 3,-0.4,-0.45,Nullsec Sovereign Strategic System,2,1,NPC Nullsec (Angel Cartel)
CUR-10K,Curse,Curse Constellation 3,-0.4,-0.45,Nullsec Sovereign Strategic System,2,1,NPC Nullsec (Angel Cartel)
CUR-11L,Curse,Curse Constellation 3,-0.4,-0.45,Nullsec Sovereign Strategic System,2,1,NPC Nullsec (Angel Cartel)
GRE-01B,Great Wildlands,Great Wildlands Constellation 1,-0.3,-0.35,Nullsec Sovereign Strategic System,2,1,NPC Nullsec (Thukker)
GRE-02C,Great Wildlands,Great Wildlands Constellation 1,-0.3,-0.35,Nullsec Sovereign Strategic System,2,1,NPC Nullsec (Thukker)
GRE-03D,Great Wildlands,Great Wildlands Constellation 1,-0.3,-0.35,Nullsec Sovereign Strategic System,2,1,NPC Nullsec (Thukker)
GRE-04E,Great Wildlands,Great Wildlands Constellation 1,-0.3,-0.35,Nullsec Sovereign Strategic System,2,1,NPC Nullsec (Thukker)
GRE-05F,Great Wildlands,Great Wildlands Constellation 2,-0.3,-0.35,Nullsec Sovereign Strategic System,2,1,NPC Nullsec (Thukker)
GRE-06G,Great Wildlands,Great Wildlands Constellation 2,-0.3,-0.35,Nullsec Sovereign Strategic System,2,1,NPC Nullsec (Thukker)
GRE-07H,Great Wildlands,Great Wildlands Constellation 2,-0.3,-0.35,Nullsec Sovereign Strategic System,2,1,NPC Nullsec (Thukker)
GRE-08I,Great Wildlands,Great Wildlands Constellation 2,-0.3,-0.35,Nullsec Sovereign Strategic System,2,1,NPC Nullsec (Thukker)
GRE-09J,Great Wildlands,Great Wildlands Constellation 3,-0.3,-0.35,Nullsec Sovereign Strategic System,2,1,NPC Nullsec (Thukker)
GRE-10K,Great Wildlands,Great Wildlands Constellation 3,-0.3,-0.35,Nullsec Sovereign Strategic System,2,1,NPC Nullsec (Thukker)
GRE-11L,Great Wildlands,Great Wildlands Constellation 3,-0.3,-0.35,Nullsec Sovereign Strategic System,2,1,NPC Nullsec (Thukker)
CAC-01B,Cache,Cache Constellation 1,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
CAC-02C,Cache,Cache Constellation 1,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
CAC-03D,Cache,Cache Constellation 1,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
CAC-04E,Cache,Cache Constellation 1,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
CAC-05F,Cache,Cache Constellation 2,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
CAC-06G,Cache,Cache Constellation 2,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
CAC-07H,Cache,Cache Constellation 2,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
CAC-08I,Cache,Cache Constellation 2,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
CAC-09J,Cache,Cache Constellation 3,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
CAC-10K,Cache,Cache Constellation 3,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
CAC-11L,Cache,Cache Constellation 3,-0.7,-0.75,Nullsec Sovereign Strategic System,2,1,Nullsec
ETH-01B,Etherium Reach,Etherium Reach Constellation 1,-0.6,-0.65,Nullsec Sovereign Strategic System,2,1,Nullsec
ETH-02C,Etherium Reach,Etherium Reach Constellation 1,-0.6,-0.65,Nullsec Sovereign Strategic System,2,1,Nullsec
ETH-03D,Etherium Reach,Etherium Reach Constellation 1,-0.6,-0.65,Nullsec Sovereign Strategic System,2,1,Nullsec
ETH-04E,Etherium Reach,Etherium Reach Constellation 1,-0.6,-0.65,Nullsec Sovereign Strategic System,2,1,Nullsec
ETH-05F,Etherium Reach,Etherium Reach Constellation 2,-0.6,-0.65,Nullsec Sovereign Strategic System,2,1,Nullsec
ETH-06G,Etherium Reach,Etherium Reach Constellation 2,-0.6,-0.65,Nullsec Sovereign Strategic System,2,1,Nullsec
ETH-07H,Etherium Reach,Etherium Reach Constellation 2,-0.6,-0.65,Nullsec Sovereign Strategic System,2,1,Nullsec
ETH-08I,Etherium Reach,Etherium Reach Constellation 2,-0.6,-0.65,Nullsec Sovereign Strategic System,2,1,Nullsec
ETH-09J,Etherium Reach,Etherium Reach Constellation 3,-0.6,-0.65,Nullsec Sovereign Strategic System,2,1,Nullsec
ETH-10K,Etherium Reach,Etherium Reach Constellation 3,-0.6,-0.65,Nullsec Sovereign Strategic System,2,1,Nullsec
ETH-11L,Etherium Reach,Etherium Reach Constellation 3,-0.6,-0.65,Nullsec Sovereign Strategic System,2,1,Nullsec
MAL-01B,Malpais,Malpais Constellation 1,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec (Drone Lands)
MAL-02C,Malpais,Malpais Constellation 1,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec (Drone Lands)
MAL-03D,Malpais,Malpais Constellation 1,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec (Drone Lands)
MAL-04E,Malpais,Malpais Constellation 1,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec (Drone Lands)
MAL-05F,Malpais,Malpais Constellation 2,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec (Drone Lands)
MAL-06G,Malpais,Malpais Constellation 2,-0.8,-0.85,Nullsec Sovereign Strategic System,2,1,Nullsec (Drone Lands)
